FPOGX,FPOGY,FPOGD
3,7,0.36151
11,13,0.37802
17,14,0.32852
10,9,0.23001
5,11,0.21381
3,13,0.47635
14,7,0.21365
17,6,0.26273
16,5,0.23029
12,5,0.21353
6,8,0.19727
2,11,0.23041
3,10,0.23001
10,5,0.21371
17,12,0.26273
17,14,0.32828
8,11,0.21381
3,12,0.31213
2,12,0.3121
11,4,0.23029
14,5,0.19696
18,7,0.26489
11,10,0.24631
5,9,0.24634
3,8,0.263
4,8,0.22986
11,12,0.31198
17,14,0.39288
10,12,0.21375
4,13,0.32892
2,13,0.3121
10,5,0.27939
17,7,0.19714
18,12,0.21347
14,12,0.19727
5,6,0.27939
2,6,0.26276
4,6,0.21335
8,4,0.04935
14,12,0.26266
17,13,0.26263
11,7,0.21359
5,9,0.23007
2,14,0.41086
7,7,0.19699
16,9,0.19696
15,10,0.22989
11,10,0.19714
4,10,0.27945
3,8,0.44366
11,4,0.26312
16,4,0.22986
18,4,0.36136
11,3,0.24664
8,3,0.21323
3,4,0.22986
3,4,0.22986
11,11,0.26288
17,10,0.35989
12,5,0.24658
7,4,0.27942
3,8,0.22983
4,7,0.19739
10,6,0.21375
15,13,0.23041
17,13,0.26285
10,5,0.27927
5,5,0.27911
3,7,0.22992
4,8,0.2301
14,6,0.19714
17,11,0.34515
10,13,0.24713
4,13,0.26273
3,15,0.31213
11,6,0.19699
14,5,0.2464
18,5,0.32877
12,6,0.21362
3,12,0.26242
2,11,0.27936
8,3,0.21347
17,13,0.29572
16,13,0.21365
7,7,0.19727
4,4,0.27936
2,3,0.31232
13,13,0.345
17,14,0.263
14,5,0.21353
7,6,0.19736
2,3,0.27884
4,3,0.21362
14,13,0.36139
17,10,0.1973
16,2,0.21326
9,3,0.22998
5,5,0.19708
3,9,0.27936
15,13,0.21466
17,15,0.24609
16,16,0.24634
10,14,0.19727
3,12,0.23004
2,11,0.36136
10,3,0.24649
15,3,0.2135
17,3,0.32892
10,10,0.19717
2,9,0.2955
2,9,0.31195
12,12,0.21347
17,5,0.21338
17,4,0.26263
9,9,0.19699
3,12,0.27927
3,9,0.1973
10,4,0.24652
17,11,0.24655
16,12,0.2128
7,8,0.19708
3,4,0.29562
2,5,0.16428
16,11,0.19699
15,12,0.22989
5,7,0.26288
2,5,0.37799
7,4,0.21365
14,13,0.31311
17,12,0.27896
10,5,0.19711
7,3,0.29575
3,6,0.23013
4,7,0.21378
12,7,0.19714
17,9,0.23013
17,8,0.29562
11,3,0.24667
6,4,0.24637
2,7,0.32831
9,4,0.29602
17,13,0.27924
17,13,0.24634
7,11,0.21332
2,12,0.64044
12,8,0.23004
15,7,0.19724
17,10,0.2626
8,9,0.19699
3,8,0.263
2,8,0.36176
8,8,0.21362
14,11,0.21362
17,14,0.32849
10,13,0.22971
4,12,0.24637
2,12,0.3121
9,15,0.26288
13,11,0.19708
17,7,0.36136
9,4,0.19684
5,6,0.21487
2,8,0.2464
4,8,0.21338
10,4,0.24664
17,6,0.19742
17,8,0.23022
9,10,0.29559
2,11,0.52536
10,7,0.22983
17,5,0.41089
10,5,0.23001
5,4,0.22998
4,4,0.34485
10,7,0.19727
15,11,0.21335
17,11,0.29556
10,4,0.21335
4,5,0.22998
3,6,0.29562
10,4,0.2626
16,3,0.23001
17,5,0.23026
9,9,0.19708
4,12,0.24634
3,13,0.31213
11,9,0.19763
15,5,0.21375
17,5,0.24634
7,10,0.24628
10,1,0.27893
10,0,0.55899
