FPOGX,FPOGY,FPOGD
16,6,0.24649
9,7,0.21362
3,10,0.31223
2,10,0.37775
13,8,0.32852
17,9,0.42697
10,10,0.21323
4,12,0.26245
3,13,0.36124
12,11,0.2298
17,7,0.2955
16,7,0.22986
10,7,0.21429
5,10,0.22974
3,11,0.44363
10,7,0.21362
17,12,0.29562
17,11,0.21335
9,5,0.32861
4,13,0.21375
2,14,0.27948
9,6,0.11499
16,5,0.2626
16,6,0.21375
10,10,0.19739
3,13,0.27908
2,12,0.26266
8,9,0.19727
13,7,0.06589
17,6,0.32837
12,5,0.31213
5,8,0.21365
2,11,0.3284
13,11,0.27939
17,9,0.46011
8,4,0.29578
4,6,0.22986
2,8,0.082
11,6,0.19717
18,12,0.29556
15,12,0.19711
6,5,0.27924
3,5,0.22974
3,6,0.2627
11,6,0.19714
16,12,0.263
16,10,0.23013
9,4,0.24637
3,3,0.29562
3,4,0.24637
11,5,0.23001
17,9,0.37759
9,9,0.19705
3,10,0.21323
2,8,0.27924
8,3,0.26291
16,12,0.26297
17,12,0.24649
9,10,0.19702
2,12,0.37781
4,11,0.19669
10,6,0.26288
17,9,0.37787
10,10,0.19717
2,11,0.27917
2,8,0.24655
8,6,0.2135
16,11,0.22986
16,6,0.19702
14,5,0.27945
3,11,0.19699
2,11,0.31195
9,5,0.24646
14,4,0.19727
18,4,0.31213
12,9,0.19714
9,9,0.22986
4,12,0.2135
13,8,0.22998
18,11,0.24658
17,11,0.26306
12,13,0.21368
3,12,0.2793
2,12,0.34479
15,9,0.2627
17,7,0.22998
17,5,0.24615
8,6,0.29578
4,8,0.19708
2,10,0.41052
10,7,0.31213
16,9,0.2959
9,10,0.24628
3,14,0.31213
2,15,0.31219
9,8,0.19696
14,5,0.22998
16,4,0.31201
10,8,0.22986
3,13,0.26288
3,15,0.39441
12,8,0.22998
17,5,0.2301
16,4,0.26288
10,8,0.2135
5,11,0.21375
2,14,0.36157
9,11,0.19696
16,6,0.26288
16,4,0.27948
10,6,0.19708
4,11,0.21332
2,13,0.49274
10,9,0.19733
16,5,0.22986
15,6,0.21326
12,7,0.19714
8,10,0.0495
3,8,0.34515
3,6,0.21393
9,6,0.19739
15,10,0.21338
17,11,0.34479
7,8,0.19684
4,5,0.21368
2,3,0.26288
3,4,0.2301
12,9,0.22986
16,7,0.22955
16,6,0.27954
7,9,0.24664
4,11,0.22992
3,12,0.24652
9,14,0.2301
16,10,0.21405
16,11,0.2301
8,12,0.19714
3,14,0.21362
2,14,0.44379
9,13,0.21356
13,13,0.19702
16,13,0.427
10,10,0.21362
4,8,0.27911
2,7,0.39453
10,5,0.2301
13,6,0.29578
16,6,0.29565
10,5,0.2135
5,8,0.21362
2,11,0.37775
9,7,0.22998
14,6,0.22986
16,5,0.36145
10,6,0.21466
5,10,0.23004
2,14,0.36133
12,6,0.29584
17,6,0.37775
9,10,0.19708
6,11,0.19708
2,13,0.26257
3,12,0.21344
10,9,0.19708
16,6,0.24664
17,3,0.31219
10,5,0.21356
4,10,0.2464
2,12,0.36121
11,6,0.427
16,5,0.31201
9,10,0.1972
3,13,0.31226
2,11,0.42719
13,10,0.23004
16,6,0.2464
15,6,0.21362
9,5,0.21362
5,7,0.21362
2,10,0.32855
10,7,0.24634
16,5,0.22943
16,4,0.27936
10,7,0.19727
3,13,0.23035
2,15,0.29553
9,5,0.26404
17,8,0.2464
16,12,0.24664
7,5,0.36133
2,7,0.24652
3,9,0.21338
9,4,0.21344
10,1,0.23029
10,1,0.49304
