FPOGX,FPOGY,FPOGD
9,13,0.82129
9,12,3.05542
8,12,0.27881
7,13,0.29565
10,11,0.26294
9,12,0.04932
5,17,0.39429
6,16,0.24609
6,5,0.24658
6,8,0.21362
6,15,0.24658
5,16,0.7063
6,3,0.46021
5,16,0.47632
6,15,0.41064
7,14,0.49268
8,14,0.06567
8,5,0.55859
8,14,0.26294
8,15,0.2793
6,11,0.19702
7,3,0.27954
6,3,0.32861
6,15,0.2959
7,13,0.36133
7,12,0.24634
6,12,0.29565
7,7,0.21338
8,11,0.2793
9,10,0.45996
9,11,0.49341
9,10,0.21313
10,7,0.13135
10,10,0.21362
10,11,0.37769
8,11,0.37817
6,12,0.34473
9,10,0.29565
10,9,0.29565
11,10,0.34473
9,10,0.34521
5,12,0.34473
7,10,0.23022
7,10,0.24634
7,9,0.2627
8,9,0.29541
9,9,0.47656
7,9,0.2959
7,10,0.24634
7,8,0.24609
9,9,0.22974
9,9,0.34521
9,9,0.37769
7,11,0.24658
8,10,0.23022
7,10,0.21338
6,11,0.24634
9,9,0.4104
10,8,0.36108
9,9,0.26294
8,9,0.60791
8,8,0.2793
7,8,0.59106
6,12,0.19727
6,12,0.24634
6,7,0.36133
8,9,0.21338
7,11,0.19702
6,14,0.24634
9,10,0.19702
11,10,0.27905
11,12,0.37793
9,12,0.32861
8,10,0.24634
7,11,0.39404
8,11,0.22949
7,11,0.39429
7,8,0.21362
7,8,0.04932
9,11,0.50928
9,10,0.55835
8,10,0.47656
9,10,0.75537
8,9,0.68994
7,9,0.26245
9,11,0.34497
10,11,0.37769
7,16,0.22974
10,9,0.26294
10,11,0.50928
6,9,0.24658
7,6,0.19678
7,16,0.36157
5,16,0.37793
5,15,0.45923
10,12,0.26294
10,10,0.57471
10,11,0.37817
7,15,0.36157
6,15,0.64038
5,14,0.27954
8,10,0.24658
8,10,0.37793
10,10,0.427
5,13,0.34424
9,10,0.22998
10,9,0.34473
9,9,0.62402
9,9,0.85449
6,9,0.32861
6,11,0.45972
5,12,0.45996
6,12,0.22998
9,10,0.2959
8,9,0.14795
8,11,0.31201
7,13,0.21362
6,14,0.2793
4,15,0.31201
5,14,0.80493
5,14,0.77197
9,12,0.62427
10,12,0.42725
10,12,1.37988
5,15,0.31226
6,15,0.27905
11,11,0.57495
8,11,0.34497
5,14,0.4104
5,15,0.60767
5,15,0.57471
9,15,1.21582
3,19,0.85425
3,18,0.2793
11,3,0.47583
10,2,0.21387
10,0,0.27954
