FPOGX,FPOGY,FPOGD
10,5,0.42853
10,15,0.52582
10,13,0.23004
8,7,0.19714
7,16,0.27924
7,15,0.39429
10,14,0.31201
9,12,0.34491
10,12,0.36102
10,12,0.52563
11,12,0.26288
11,7,0.55835
11,8,0.2301
10,12,0.54199
7,14,0.32867
8,12,0.31207
10,11,0.49286
7,16,0.44348
6,15,0.21368
5,14,0.2135
5,14,0.46021
6,7,0.26276
6,7,0.29547
9,13,0.42694
7,15,0.32831
11,9,0.21338
11,4,0.22998
10,6,0.26294
10,11,0.67352
7,15,0.427
7,12,0.21362
7,14,0.19714
7,13,0.27942
7,12,0.36133
6,12,0.49298
11,11,0.52576
10,10,0.5094
10,8,0.59161
10,9,0.37799
5,12,0.36133
8,10,0.1972
10,9,0.27942
10,7,0.31207
11,10,0.2135
10,10,0.19714
7,14,0.34509
6,13,0.62408
7,16,0.82135
5,16,0.29535
7,6,0.32861
5,7,0.26276
6,16,0.2135
6,15,0.41089
5,14,0.26257
9,11,0.21344
10,11,0.14764
10,11,0.49274
11,11,0.22998
11,12,0.27924
9,12,0.2135
10,10,0.36108
9,6,0.37805
10,9,0.29578
10,11,0.52661
9,13,0.22998
7,16,0.27924
7,12,0.19702
9,8,0.42694
10,8,0.88605
9,10,0.09875
6,14,0.2298
7,6,0.27899
6,15,0.52563
7,16,0.45978
7,16,0.87042
7,17,0.31183
9,15,0.19672
10,9,0.27893
10,10,0.32892
10,9,0.70648
10,9,0.31195
9,6,0.22943
9,3,0.32861
10,2,0.29565
10,2,0.26288
10,8,0.59137
6,18,0.27924
7,17,0.29572
8,13,0.19702
8,5,0.60773
8,16,0.34442
8,14,0.27924
8,4,0.49304
8,13,0.77216
7,17,0.32849
9,12,0.21362
8,14,0.19727
7,17,0.46008
10,17,0.26361
6,17,0.67389
5,16,0.29578
7,7,0.29559
11,15,0.27936
7,15,0.31213
6,16,0.29565
6,15,0.36121
8,5,0.41064
7,14,0.34515
8,14,0.36151
8,4,0.19708
8,4,0.22992
8,12,0.47626
6,13,0.27936
6,14,0.39453
6,12,0.0498
5,5,0.2793
6,14,0.34473
7,13,0.37787
7,6,0.21362
8,11,0.29547
8,12,0.93634
7,6,0.19714
7,6,0.2135
7,11,0.22974
8,10,0.47681
9,9,0.37787
10,8,0.55719
11,14,0.24652
10,7,0.62408
10,6,0.26306
10,4,0.52533
10,6,0.47626
10,6,0.29559
10,10,0.42706
7,16,0.13153
9,8,0.21356
6,10,0.34485
8,10,0.36133
7,9,0.32874
7,9,0.427
7,8,0.41052
7,6,0.22998
7,14,0.24652
9,11,0.19727
6,7,0.47656
6,10,0.47632
5,14,0.24622
5,14,0.34503
5,16,0.21356
3,19,0.29559
4,19,0.73938
10,1,0.72284
