FPOGX,FPOGY,FPOGD
3,16,0.36145
9,18,0.0495
14,11,0.24622
15,10,0.32867
12,6,0.26331
7,5,0.31207
4,10,0.24786
2,11,0.29559
14,10,0.24622
14,14,0.27911
11,15,0.24597
7,14,0.21362
4,11,0.27924
4,11,0.26288
9,10,0.21332
13,10,0.29578
13,9,0.26288
8,8,0.29565
4,9,0.41077
4,8,0.26117
11,8,0.24628
15,8,0.41064
11,4,0.24634
7,9,0.21362
3,12,0.23138
4,11,0.22986
11,12,0.24634
15,13,0.24634
14,10,0.2467
10,8,0.19727
6,5,0.22998
6,4,0.22986
2,6,0.11499
15,12,0.21332
10,4,0.27911
7,8,0.19702
4,14,0.2464
9,11,0.21381
15,14,0.21332
14,13,0.27924
8,13,0.21332
5,12,0.21326
3,11,0.22998
3,12,0.23047
11,14,0.21362
16,12,0.31201
11,8,0.2149
9,5,0.1972
7,7,0.2464
5,6,0.31226
11,13,0.21362
18,14,0.2135
11,8,0.29578
6,6,0.28125
4,5,0.37799
10,12,0.27936
15,10,0.24677
12,6,0.21362
10,9,0.09863
6,14,0.22998
4,15,0.27942
6,14,0.19696
11,9,0.24622
13,7,0.24652
14,9,0.24615
8,12,0.2135
6,13,0.24689
4,15,0.39435
8,17,0.18085
15,10,0.29559
9,6,0.26318
6,6,0.21338
4,6,0.24652
3,5,0.26276
11,11,0.36121
15,9,0.24664
13,8,0.23016
7,13,0.21375
5,13,0.21313
3,7,0.34485
9,8,0.39423
9,4,0.34491
8,2,0.62451
