[0:0],[0:1],[0:2],[0:3],[0:4],[1:0],[1:1],[1:2],[1:3],[1:4],[2:0],[2:1],[2:2],[2:3],[2:4],[3:0],[3:1],[3:2],[3:3],[3:4],[4:0],[4:1],[4:2],[4:3],[4:4],Game
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mario
0.0,0.0,0.0,0.0,1.19922,0.0,0.55847,2.46359,2.16855,3.21923,2.34901,2.92444,49.85436,74.33565,27.63085,0.0,3.46533,16.35939,60.48881,18.24933,0.0,0.50921,1.54398,6.76868,3.05511,Mario
0.0,0.0,0.0,0.0,1.29639,0.54224,0.26294,0.0,0.0,0.39429,22.93161,8.2444,15.80248,21.41966,0.55835,21.36988,24.26734,22.02813,21.76438,1.32983,6.43825,4.05763,5.76637,9.88942,0.26294,PacMan
0.0,0.0,0.0,0.0,0.90348,3.69616,10.16871,0.0,13.76649,1.72559,8.476,44.17613,20.32353,53.09224,4.69813,3.31853,23.71956,29.20915,40.67245,4.48431,0.96948,4.07095,0.54207,17.10014,3.17215,PacMan
3.87567,6.91586,5.76789,8.27923,0.91993,16.36212,19.30126,13.93559,12.02677,1.60974,15.62134,17.39653,11.21932,11.72963,1.00196,11.02192,21.10664,23.71046,12.37346,0.49262,1.85626,7.65737,15.6718,18.87526,0.09857,Pong
1.54432,11.82782,10.86145,16.54169,0.0,3.12208,12.55174,16.93519,13.71552,0.0,7.45668,12.97966,16.54727,10.54294,0.0,3.82715,9.20032,23.68654,13.32537,0.0,7.1952,17.26664,31.55923,29.32686,0.0,Pong
0.0,0.0,0.0,0.0,0.0,3.41662,24.69357,80.44533,39.83654,2.31666,6.65235,30.43798,58.77489,25.54335,0.96912,0.22998,0.65722,0.0,0.0,0.22974,0.0,0.0,0.0,0.0,0.0,Tetris
0.0,0.0,0.0,0.0,0.0,1.70678,51.18412,82.06832,49.77997,0.73877,3.73106,29.19113,53.73204,34.14975,0.11487,0.0,0.0,0.42712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tetris
