FPOGX,FPOGY,FPOGD,BPOGX,BPOGY
0.71677,0.84348,0.29565,0.57776,0.87178
0.61765,0.85065,0.39417,0.67556,0.83029
0.6805,0.82327,0.70618,0.74261,0.8461
0.79894,0.82594,0.31213,0.86103,0.78308
0.82215,0.74696,0.26288,0.82261,0.68242
0.7407,0.70162,0.32788,0.76253,0.51211
0.73652,0.52186,0.2796,0.771,0.49873
0.76105,0.41564,0.22992,0.72371,0.3825
0.74052,0.44009,0.31207,0.8914,0.49914
0.83696,0.42112,0.27924,0.79925,0.39004
0.77287,0.39179,0.29559,0.67945,0.49669
0.62333,0.58305,0.31232,0.62157,0.53174
0.61299,0.5429,0.37769,0.75628,0.56394
0.75244,0.67534,0.19727,0.64572,0.98534
0.58056,0.79595,0.60748,0.5489,0.76654
0.55297,0.76458,0.54187,0.54082,0.72298
0.58531,0.72477,0.93616,0.5999,0.69274
0.58518,0.72532,1.10083,0.68101,0.68348
0.62495,0.73485,0.41058,0.56897,0.70118
0.5515,0.75232,0.27899,0.51962,0.76411
0.56293,0.73505,0.29547,0.58885,0.7126
0.57263,0.72029,0.52576,0.51661,0.59778
0.50626,0.61379,1.36346,0.4275,0.58745
0.47406,0.56754,0.26276,0.49285,0.62727
0.46989,0.5177,0.26288,0.39374,0.50474
0.40727,0.53674,0.34485,0.34668,0.71928
0.42543,0.66062,0.23004,0.42365,0.67349
0.47016,0.73174,0.24646,0.52412,0.74403
0.5526,0.76895,0.24658,0.65812,0.84485
0.67974,0.83574,0.29559,0.78468,0.92361
0.68945,0.86183,0.45984,0.66165,0.81729
0.58731,0.82921,0.29553,0.53169,0.82246
0.55816,0.79492,0.26227,0.6553,0.76015
0.63135,0.74806,0.24634,0.61542,0.78074
0.66058,0.6619,0.54211,0.63093,0.65082
0.63803,0.79052,0.46002,0.7551,0.77436
0.76281,0.72151,0.26282,0.7814,0.65323
0.69396,0.65129,0.24628,0.63165,0.60767
0.57201,0.65034,0.29572,0.5313,0.628
0.65051,0.73349,0.21405,0.67881,0.78623
0.66204,0.80784,0.31213,0.63502,0.89669
0.63861,0.85948,0.36139,0.67202,0.85625
0.68382,0.80291,0.29547,0.83108,0.7498
0.84542,0.71666,0.29559,0.84505,0.71778
0.75305,0.7477,0.21417,0.67789,0.76647
0.78587,0.73194,0.2135,0.82061,0.70986
0.86905,0.6771,0.26288,0.91329,0.65417
0.85625,0.66838,0.41071,0.87866,0.74033
0.86961,0.72071,0.44354,0.92243,0.75646
0.87082,0.74313,0.34497,0.79457,0.76467
0.72821,0.80552,0.2287,0.65966,0.82538
0.57692,0.8126,0.26233,0.54786,0.7952
0.49702,0.8255,0.83801,0.45375,0.82409
0.49085,0.81369,0.7392,0.50122,0.78
0.5035,0.75859,1.36353,0.4399,0.69194
0.47016,0.67358,0.34473,0.50471,0.74434
